,Left Stick X,Left Stick Y,Right Stick X,Right Stick Y,Button South,Button West,L1,R1,R2,Gyroscope X,Gyroscope Y,Gyroscope Z,Accelerometer X,Accelerometer Y,Accelerometer Z
5076,0.0,0.0,1.0,-0.1217254,0,0.0,0.0,0.0,0.0,0.1394361,0.03998169,0.05122654,0.1766357,-0.9387207,-0.3967285
5077,0.0,0.0,1.0,-0.2562958,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08874512,-0.9726563,-0.3070068
5078,0.0,0.0,1.0,-0.4249173,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0447998,-1.010254,-0.1678467
5079,0.0,0.0,0.9815939,-0.4888099,0,0.0,0.0,0.0,0.0,0.0004997711,0.1109492,0.0537254,-0.05981445,-1.005981,-0.1253662
5080,0.0,0.0,0.9821059,-0.4970172,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01159668,-1.043213,-0.2375488
5081,0.0,0.0,0.9826212,-0.5052344,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1291504,-1.003784,-0.2593994
5082,0.0,0.0,0.9826212,-0.5052344,0,0.0,0.0,0.0,0.0,-0.0599766,0.1167237,0.07151057,0.05102539,-1.036133,-0.3997803
5083,0.0,0.0,0.9826212,-0.5052344,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09033203,-1.008545,-0.4205322
5084,0.0,0.0,0.9880918,-0.4484112,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0604248,-0.9317627,-0.3929443
5085,0.0,0.0,1.0,-0.3605264,0,0.0,0.0,0.0,1.0,-0.09920457,0.1216943,0.08546086,0.07336426,-0.894165,-0.4260254
5086,0.0,0.0,1.0,-0.2962267,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06640625,-0.8392334,-0.3551025
5087,0.0,0.0,1.0,-0.2086106,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08666992,-0.8760986,-0.4304199
5088,0.0,0.0,1.0,-0.1374799,0,0.0,0.0,0.0,1.0,-0.05447949,0.1217042,0.06822432,0.1330566,-0.8497314,-0.541626
5089,0.0,0.0,1.0,-0.113854,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1774902,-0.8320313,-0.6033936
5090,0.0,0.0,1.0,-0.09026043,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1955566,-0.7998047,-0.6324463
5091,0.0,0.0,1.0,-0.09026043,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1625977,-0.8319092,-0.5938721
5092,0.0,0.0,1.0,-0.09026043,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1461182,-0.8103027,-0.5198975
5093,0.0,0.0,1.0,-0.1374799,0,0.0,0.0,0.0,1.0,0.0532822,0.05282088,0.02606445,0.1522217,-0.8682861,-0.5246582
5094,0.0,0.0,1.0,-0.2324234,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1350098,-0.9078369,-0.5008545
5095,0.0,0.0,1.0,-0.3444016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429443,-0.9182129,-0.4355469
5096,0.0,0.0,1.0,-0.4330592,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08581543,-0.9362793,-0.4217529
5097,0.0,0.0,0.9890714,-0.4647444,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06982422,-0.9624023,-0.3951416
5098,0.0,0.02191465,0.9810852,-0.4806126,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1057129,-0.9998779,-0.3745117
5099,-0.02756477,0.2079887,0.9721088,-0.4801027,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09094238,-1.008179,-0.4091797
5100,-0.1316142,0.4623372,0.1918413,-0.1594174,0,0.0,0.0,0.0,0.0,0.02053045,0.04290634,0.08927286,0.05493164,-1.008789,-0.2969971
5101,-0.2320704,0.6593748,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06860352,-0.9404297,-0.2969971
5102,-0.3972812,0.940101,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0324707,-0.9000244,-0.2872314
5103,-0.4743927,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0378418,-0.875,-0.4067383
5104,-0.4825947,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008056641,-0.9268799,-0.4321289
5105,-0.523744,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06994629,-0.9267578,-0.4372559
5106,-0.5557991,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09094238,-0.9219971,-0.4211426
5107,-0.6202084,0.9723267,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05615234,-0.9744873,-0.362915
5108,-0.6845161,0.9327032,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04638672,-0.9104004,-0.3925781
5109,-0.7238518,0.8918174,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128418,-0.5753174,-0.6004639
5110,-0.8044004,0.8284124,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2061768,-0.701416,-0.557251
5111,-0.8680802,0.7560699,0.0,0.0,1,0.0,0.0,0.0,0.0,0.04372641,0.002498652,-0.03323207,0.1049805,-0.8677979,-0.4139404
5112,-0.9081243,0.7080969,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06018066,-0.9278564,-0.326416
5113,-0.9551592,0.6274477,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07629395,-0.9785156,-0.3533936
5114,-0.9926133,0.5222183,0.0,0.0,1,0.0,0.0,0.0,0.0,0.003229225,0.03852003,0.06366186,0.0760498,-1.099365,-0.3662109
5115,-1.0,0.4657205,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08056641,-1.087769,-0.366333
5116,-1.0,0.3766855,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05310059,-1.0354,-0.3880615
