Timestamp, Left Stick X, LeftStickY, Right Stick X, Right Stick Y, D-Pad Up, D-Pad Right,D-Pad Down, D-Pad Left, Button North, Button East, Button South, Button West, L1, R1, L2, R2, L3, R3,Gyroscope X, Gyroscope Y, Gyroscope Z, Accelerometer X, Accelerometer Y, Accelerometer Z,Touch 1, Touch 2, Touch 1 Pos X, Touch 1 Pos Y, Touch 2 Pos X, Touch 2 Pos Y
34.97014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01024573,-0.001499354,0.009246131,-0.02770996,-1.028198,-0.06005859,0,0,0,0,0,0
34.98014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006247139,-0.002748741,0.008745994,-0.03088379,-1.028809,-0.05908203,0,0,0,0,0,0
34.99014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001499374,-0.005497726,0.007746757,-0.03198242,-1.028687,-0.05981445,0,0,0,0,0,0
35.00013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001749301,-0.006247403,0.006247403,-0.03210449,-1.026855,-0.06213379,0,0,0,0,0,0
35.01013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003498683,-0.002998871,0.003498683,-0.03308105,-1.019653,-0.06274414,0,0,0,0,0,0
35.02013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01032169,-0.006977182,0.003882524,-0.03076172,-1.009399,-0.06982422,0,0,0,0,0,0
35.03013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008996246,-0.006997081,0.001249468,-0.03356934,-1.003418,-0.06982422,0,0,0,0,0,0
35.04013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00674691,-0.006996796,-0.003748283,-0.03100586,-0.9952393,-0.07202148,0,0,0,0,0,0
35.05013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00524778,-0.006747195,-0.01024576,-0.03112793,-0.9920654,-0.07336426,0,0,0,0,0,0
35.06012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002499059,-0.005997742,-0.03027344,-0.9993896,-0.06494141,0,0,0,0,0,0
35.07012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003344747,-0.00242203,-0.006055076,-0.02648926,-1.012695,-0.06066895,0,0,0,0,0,0
35.08012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003383282,-0.001672455,0.0004422132,-0.02966309,-1.018188,-0.05908203,0,0,0,0,0,0
35.09012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001749138,0.006496781,-0.02954102,-1.018188,-0.05944824,0,0,0,0,0,0
35.10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001249428,-0.002498855,0.003248512,-0.03210449,-1.012817,-0.05810547,0,0,0,0,0,0
35.11012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002498855,-0.003248512,0.001749199,-0.03125,-1.01416,-0.05712891,0,0,0,0,0,0
35.12011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003248512,-0.003498398,0.0002498855,-0.03100586,-1.003418,-0.06347656,0,0,0,0,0,0
35.13011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002998769,-0.006747195,-2.034358E-08,-0.02929688,-1.004395,-0.06921387,0,0,0,0,0,0
35.14011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001749117,-0.005247393,0.0009995014,-0.03222656,-0.9984131,-0.07043457,0,0,0,0,0,0
35.15011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0004613585,-0.001614755,0.001384075,-0.03210449,-0.9981689,-0.06994629,0,0,0,0,0,0
35.16011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001845434,-0.001153396,0.0004613585,-0.03015137,-0.9971924,-0.06835938,0,0,0,0,0,0
35.1701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007689036,-0.002633503,-0.0002498855,-0.03173828,-1.004761,-0.06433105,0,0,0,0,0,0
35.1801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008169256,-0.002652608,-0.002633381,-0.0291748,-1.014526,-0.05981445,0,0,0,0,0,0
35.1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007689036,-0.005055533,-0.002402824,-0.02624512,-1.022949,-0.06164551,0,0,0,0,0,0
35.2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009995422,-0.004747826,-0.0004997711,-0.02502441,-1.0271,-0.05957031,0,0,0,0,0,0
35.2101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001249428,-0.00674691,0.0009995422,-0.02294922,-1.0271,-0.06237793,0,0,0,0,0,0
35.2201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007650624,-0.01558955,0.005036327,-0.015625,-1.016968,-0.06750488,0,0,0,0,0,0
35.23009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008669414,-0.01801156,0.006747155,-0.01416016,-1.010986,-0.06750488,0,0,0,0,0,0
